id,commonName,scientificName,pathogen,probability,evaluation,observationsEval
ID_1706886541043,Tizón tardío de la papa,Phytophthora infestans,fungi,Probable,VERDADERO,
ID_1706905924273,Oídio,Erysiphaceae,fungi,Posible,FALSO,
ID_1706905924273,Áfidos o pulgones,Aphis,insect,Improbable,No lo sé,
ID_1706905924273,Mosca blanca,Aleyrodidae,insect,Muy improbable,VERDADERO,
ID_1706906519353,Tizón tardío de la papa,Phytophthora infestans,fungi,Probable,VERDADERO,
ID_1706906519353,Escarabajo de la Papa,Leptinotarsa decemlineata,insect,Muy improbable,VERDADERO,
ID_1706906585880,Tizón tardío de la papa,Phytophthora infestans,fungi,Probable,VERDADERO,
ID_1706906585880,Escarabajo de la Papa,Leptinotarsa decemlineata,insect,Muy improbable,VERDADERO,
ID_1706907994076,Tizón tardío de la papa,Phytophthora infestans,fungi,Probable,VERDADERO,
ID_1706907994076,Escarabajo de la Papa,Leptinotarsa decemlineata,insect,Muy improbable,VERDADERO,
ID_1707167291988,Virus del mosaico amarillo del frijol mungo,MYMV,virus,Probable,VERDADERO,
ID_1707167291988,Virus del mosaico común del frijol,BCMV,virus,Improbable,VERDADERO,
ID_1707167766933,Trips o arañuelas,Thysanoptera,insect,Posible,VERDADERO,
ID_1707167766933,Moscas minadoras o minadores,Agromyzidae,insect,Improbable,FALSO,
ID_1707167766933,Virus de la hoja arrugada del frijol negro,ULCV,virus,Muy improbable,FALSO,
ID_1707216803822,Tizón tardío de la papa,Phytophthora infestans,fungi,Probable,VERDADERO,
ID_1707216803822,Tizón temprano,Alternaria solani,fungi,Muy improbable,VERDADERO,
ID_1707216885757,Botritis de la Cebolla,Botryotinia squamosa,fungi,Posible,VERDADERO,
ID_1707216885757,Trips o arañuelas,Thysanoptera,insect,Posible,VERDADERO,
ID_1707216885757,Moscas minadoras o minadores,Agromyzidae,insect,Muy improbable,VERDADERO,
ID_1707216990465,Escarabajo de la Papa,Leptinotarsa decemlineata,insect,Posible,VERDADERO,
ID_1707216990465,Alticinos,Chrysomelidae,insect,Muy improbable,FALSO,
ID_1707216990465,Oruga del tabaco,Spodoptera litura,insect,Muy improbable,FALSO,
ID_1707217669995,Alticinos,Chrysomelidae,insect,Muy probable,FALSO,
ID_1707217669995,Escarabajo de la Papa,Leptinotarsa decemlineata,insect,Muy improbable,VERDADERO,
ID_1707217669995,Oruga del tabaco,Spodoptera litura,insect,Muy improbable,FALSO,
ID_1707337378022,Daños en el desarrollo por herbicidas,Herbicides Growth Regulators,others,Posible,VERDADERO,
ID_1707337378022,Saludables,Healthy,others,Posible,VERDADERO,
ID_1707337378022,Moscas minadoras o minadores,Agromyzidae,insect,Muy improbable,FALSO,
ID_1707341020081,Minador del cafeto,Leucoptera sp.,insect,Improbable,VERDADERO,
ID_1707341020081,Mancha de hierro,Mycosphaerella coffeicola,fungi,Improbable,FALSO,
ID_1707341020081,Saludables,Healthy,others,Muy improbable,VERDADERO,
ID_1707413124340,Rizoctoniasis  de la patata,Rhizoctonia solani,fungi,Posible,VERDADERO,
ID_1707413124340,Sarna Común de la Papa,Streptomyces scabies,bacteria,Posible,VERDADERO,
ID_1707413124340,Agalla Plateada de la Papa,Helminthosporium solani,fungi,Muy improbable,VERDADERO,
ID_1707413601871,Virus Y de la Papa,PVY,virus,Probable,VERDADERO,
ID_1707413601871,Alticinos,Chrysomelidae,insect,Muy improbable,FALSO,
ID_1707413601871,Virus del enrollamiento de la hoja de papa,PLRV,virus,Muy improbable,FALSO,
ID_1707413701629,Mop Top de la papa,PMTV,virus,Posible,VERDADERO,
ID_1707413701629,Virus del mosaico de la alfalfa,AMV,virus,Improbable,FALSO,
